1;0;11
1;2;9
1;3;9
1;5;8
1;7;9
1;8;9
1;8;7
1;9;7
1;11;7
1;12;8
1;14;8
1;14;10
1;16;9
1;16;11
1;18;12
1;19;10
1;19;11
1;20;12
1;20;12
1;20;11
1;22;9
1;23;9
2;0;10
2;0;10
2;2;10
2;4;8
2;5;7
2;5;9
2;5;10
2;5;11
2;5;10
2;5;10
2;5;12
2;5;12
2;6;13
2;7;15
2;8;15
2;10;16
2;11;18
2;13;18
2;15;17
2;16;19
2;16;21
2;18;19
2;20;19
2;22;19
3;0;10
3;0;8
3;0;10
3;1;10
3;3;11
3;4;9
3;6;9
3;8;9
3;8;8
3;10;8
3;11;9
3;12;10
3;12;8
3;13;8
3;15;7
3;16;9
3;17;11
3;19;12
3;21;14
3;21;14
3;21;12
3;22;11
4;0;12
4;1;12
4;1;13
4;1;13
4;2;13
4;3;11
4;4;11
4;5;10
4;5;9
4;7;9
4;8;7
4;10;6
4;11;5
4;11;3
4;12;5
4;12;3
4;13;2
4;14;2
4;14;0
4;15;0
4;16;0
4;17;1
4;19;0
4;20;1
4;22;2
4;23;3
5;0;13
5;0;15
5;2;17
5;4;17
5;4;16
5;5;16
5;6;16
5;8;16
5;10;14
5;11;14
5;12;13
5;13;13
5;14;12
5;15;13
5;15;13
5;17;11
5;19;12
5;20;12
5;22;11
5;22;10
5;23;12
5;23;10
6;0;11
6;1;9
6;2;10
6;3;11
6;5;11
6;5;12
6;7;14
6;7;16
6;7;18
6;7;17
6;9;19
6;10;19
6;10;20
6;12;18
6;12;20
6;13;20
6;15;21
6;16;22
6;18;20
6;18;18
6;18;20
6;19;20
6;20;18
6;21;20
6;23;18
7;0;12
7;2;12
7;2;10
7;4;11
7;4;13
7;6;11
7;6;11
7;7;11
7;7;10
7;8;12
7;9;12
7;10;12
7;10;14
7;12;16
7;13;16
7;15;14
7;16;15
7;17;15
7;17;14
7;18;14
7;20;14
7;20;14
7;21;16
7;22;17
7;22;15
7;23;15
7;23;13
8;0;9
8;1;10
8;2;9
8;4;9
8;4;11
8;4;12
8;5;12
8;7;14
8;8;15
8;8;14
8;10;14
8;10;16
8;10;16
8;10;17
8;11;17
8;11;19
8;12;18
8;13;18
8;14;18
8;14;19
8;14;19
8;16;20
8;16;20
8;18;20
8;19;21
8;20;21
8;22;21
8;22;21
9;0;10
9;2;8
9;3;6
9;4;4
9;6;3
9;6;1
9;6;2
9;8;2
9;10;2
9;12;2
9;13;4
9;14;4
9;14;5
9;16;4
9;16;4
9;18;4
9;19;4
9;19;6
9;19;6
9;19;6
9;20;5
9;22;7
10;0;11
10;1;11
10;2;10
10;2;8
10;3;8
10;3;9
10;4;8
10;6;7
10;8;5
10;8;4
10;8;4
10;8;6
10;9;5
10;10;3
10;11;2
10;13;2
10;14;3
10;14;3
10;15;1
10;16;1
10;16;1
10;16;1
10;17;0
10;19;-2
10;20;0
10;22;1
10;22;1
10;23;1
11;0;10
11;2;8
11;2;10
11;3;10
11;3;8
11;4;8
11;5;8
11;5;10
11;5;11
11;6;12
11;8;12
11;8;10
11;8;9
11;10;8
11;11;10
11;12;12
11;14;11
11;14;9
11;14;8
11;15;7
11;16;7
11;16;8
11;17;6
11;19;6
11;20;4
11;22;4
11;23;4
12;0;9
12;1;11
12;1;13
12;1;11
12;2;13
12;4;14
12;5;15
12;5;17
12;6;17
12;8;15
12;10;17
12;12;15
12;12;15
12;14;13
12;16;15
12;17;13
12;17;12
12;17;14
12;18;13
12;18;11
12;20;11
12;20;13
12;22;12
12;22;10
13;0;11
13;1;13
13;3;14
13;4;12
13;6;12
13;6;13
13;6;14
13;7;16
13;7;18
13;8;20
13;10;21
13;12;22
13;13;20
13;15;21
13;17;21
13;18;19
13;19;17
13;20;18
13;22;19
14;0;11
14;1;12
14;3;14
14;3;14
14;4;14
14;6;16
14;8;14
14;10;15
14;11;13
14;11;12
14;11;10
14;12;8
14;14;8
14;15;10
14;16;9
14;18;9
14;18;9
14;19;9
14;21;8
14;22;10
14;23;10
14;23;10
14;23;9
15;0;13
15;2;13
15;3;12
15;5;14
15;6;14
15;6;15
15;6;16
15;7;16
15;9;16
15;11;14
15;11;12
15;12;11
15;12;11
15;13;12
15;13;11
15;13;11
15;15;11
