16;0;9
16;1;7
16;4;7
16;7;8
16;9;9
16;11;7
16;14;5
16;15;5
16;17;5
16;18;4
16;20;4
16;21;2
16;23;2
17;0;12
17;3;14
17;5;15
17;6;16
17;8;16
17;10;18
17;12;18
17;14;17
17;16;17
17;19;17
17;20;19
17;22;17
18;0;11
18;3;9
18;6;9
18;7;10
18;8;8
18;11;8
18;14;7
18;15;5
18;18;6
18;20;5
18;23;5
19;0;10
19;1;8
19;2;7
19;5;5
19;8;6
19;9;4
19;10;4
19;12;2
19;15;2
19;17;2
19;18;2
19;21;4
19;22;5
20;0;9
20;3;9
20;5;9
20;7;10
20;9;9
20;11;7
20;12;7
20;13;7
20;15;5
20;18;5
20;20;5
20;22;5
21;0;9
21;2;9
21;4;11
21;5;9
21;6;11
21;8;9
21;9;10
21;11;9
21;13;9
21;15;9
21;18;8
21;21;8
21;23;9
22;0;11
22;1;10
22;4;10
22;6;8
22;7;10
22;8;12
22;11;14
22;12;14
22;15;16
22;16;16
22;17;15
22;19;17
22;21;15
22;23;16
23;0;10
23;1;10
23;2;12
23;3;12
23;4;12
23;6;12
23;9;10
23;11;8
23;14;8
23;15;9
23;18;11
23;19;11
23;21;13
23;22;13
23;23;13
